gene_collect,label
VTRNA1-2,original
PGL2,original
CCDC90B,original
LOXL1-AS1,original
Vps13c,original
HSPE1P13,original
FOLR1,original
VPS25,original
TRSUP-TTA3-1,original
RPL5P18,original
GPR166P,original
Erc1,original
Nsrp1,original
OR2I8P,original
Mrpl39,original
SEC11A,original
RNF170,original
Cyp2j8,original
Slc22a18,original
ABHD14B,original
Zpbp,original
ZNF863P,original
DEFT1P2,original
ABCA8,original
MANSC1,original
2810474O19Rik,original
Gm37359,original
Mpig6b,original
AL355096.1,original
AC007405.3,original
CU634019.5,original
Bphl,original
C3CER1,original
Wdr33,original
CLEC16A,original
IGHD5-18,original
Ssna1,original
Smu1,original
AL591848.3,original
Rb1,original
6720489N17Rik,original
AC099568.2,original
Gm29839,original
Prpf3,original
Gm3095,original
Zmat4,original
PSMB2,original
HAS2-AS1,original
NPAS2,original
OGFRP1,original
Ctcfl,original
Grik5,original
VPS18,original
P2RY10P1,original
AC019080.1,original
HOXD-AS2,original
Ccdc122,original
Gm48896,original
SLC20A1P2,original
A230001M10Rik,original
ASNSP2,original
GAPDHP70,original
LINC02466,original
Sort1,original
AC090696.1,original
AL020994.2,original
CASP1P2,original
Cd40,original
RPS20P33,original
AC010197.1,original
Ccdc17,original
KCTD11,original
TRR-TCT1-1,original
Gm31267,original
RNU1-88P,original
RPL23AP90,original
TAC1R,original
RNA5SP210,original
1700020A23Rik,original
Olfr705,original
UBE2Q2,original
MFGE8,original
AC005229.5,original
Plekhd1os,original
Tlcd2,original
TERF1P6,original
CMD1J,original
CELSR2,original
AC084128.1,original
ODAD2P1,original
Tmem248,original
4931440F15Rik,original
CMTM7,original
Olfr870,original
COX7B,original
RRAGAP1-AS1,original
AP002761.4,original
MIR4254,original
OR4F11P,original
Dctn1,original
AC005520.3,original
Vmn1r75,original
Gm10785,original
Gm28746,original
AC093765.2,original
Nudt7,original
Scaper,original
PALLD,original
SNORA7B,original
1810020O05Rik,original
MED14P1,original
Gm37418,original
4930465K09Rik,original
Polr3d,original
LUZP4P1,original
CFAP53P1,original
PA2G4P4,original
MIMT1,original
SNORD115-18,original
RUSF1,original
CDC37P1,original
ARPC3P5,original
DLX3,original
Gm11568,original
H2BP5,original
NANOGNBP3,original
MIR5195,original
TRB,original
Triobp,original
4933404K13Rik,original
PBDX,original
TRAJ26,original
BMS1P4-AGAP5,original
AC044798.2,original
PCMTD1P6,original
THAP2,original
Fhitos,original
SERF1,original
AC060234.1,original
AC104169.1,original
ADAMTS18,original
Atxn10,original
Gm10840,original
Gm32916,original
Steap1,original
B3GNTL1P2,original
TMEM254,original
PIP5K1P2,original
Olfr646,original
GAPDHP61,original
RPL21P8,original
CNTNAP3P8,original
AL161851.2,original
TSBP1-AS1,original
CDIPT,original
RNU7-150P,original
RPS12P14,original
FYTTD1,original
CALHM1,original
CCDC188,original
AC024075.1,original
Tle4,original
Tfcp2l1,original
RNU6-476P,original
RNA5SP110,original
BMS1P7,original
ZNF734P,original
LHFPL5,original
Csn1s1,original
Gm17745,original
LRP4-AS1,original
3110099E03Rik,original
MIR3910-1,original
CSNB1,original
ACTL11P,original
EHHADH-AS1,original
Traj46,original
TMEFF1,original
NDUFB9,original
AL391117.1,original
SNORD145,original
AL049629.1,original
PLPP5,original
Gpsm3,original
ZNF277,original
4932413F04Rik,original
C17orf1B,original
AC040904.1,original
RFC3,original
AP003469.3,original
Grpr,original
Atp2c2,original
Trex2,original
ELP3,original
GBP3,original
MTND6P35,original
Cpa3,original
Vipas39,original
Igbp1b,original
Cox15,original
MIR124-1,original
PKD2L,original
SSBP4,original
5330439M10Rik,original
PIRC61,original
RNU6-1008P,original
AL022068.1,original
DOK1,original
LINC02440,original
Gm12847,original
Gm3239,original
AC097382.3,original
KYAT1,original
SNRPEP6,original
LIPN3L,original
Ap1m1,original
Gm15632,original
Mpc1,original
Zmym2,original
mt-Nd4,original
Adcyap1,original
Vmn1r214,original
SPATS1,original
RNU11-2P,original
AC114811.2,original
HOX2A,original
HIST1H2BB,original
KCNIP4-IT1,original
Yipf7,original
MIR365B,original
RNVU1-13,original
ZNF557,original
Trav13-1,original
Zbtb14,original
Olfr883,original
AC011444.2,original
AC004000.1,original
Gm10602,original
Pitpnm2,original
Apoo,original
AC009806.1,original
TMOD3,original
DMTF1,original
SPG24,original
Atg12,original
TRV-CAC5-1,original
FTH1P19,original
Gm47691,original
MIR6718,original
AC006111.3,original
RN7SL403P,original
AL161729.4,original
LINC01080,original
Gm12660,original
AC073896.2,original
Gm15491,original
Gm13565,original
AC010595.1,original
Olfr312,original
AL606970.4,original
ZNF883,original
Gpr21,original
Trbv4,original
Vps52,original
Fam189b,original
RNU6-1125P,original
4921511C10Rik,original
AC154408.2,original
Gm15894,original
SYNJ2BP-COX16,original
C9orf170,original
RPL36A-HNRNPH2,original
SAP18P2,original
LINC01965,original
Olfr346,original
RN7SL480P,original
LINC02924,original
AC009005.1,original
AC112721.1,original
RBM4,original
Mep1a,original
RPSAP70,original
Trem2,original
AC010198.1,original
AP001116.1,original
OR51H1,original
NUDT19P3,original
Cyp4f15,original
PGM5P4,original
IBTKP1,original
C18orf49,original
RPL35AP22,original
MIR193B,original
Ifrd1,original
Spata4,original
AP000688.1,original
Olfr1115,original
SUMO2P20,original
2410131K14Rik,original
Slc25a13,original
Kdm5b,original
TM4SF18,original
Pcbp3,original
TFNR,original
4930434B07Rik,original
MAP3K20-AS1,original
Gm17039,original
TXNDC12-AS1,original
Oasl2,original
Vmn2r26,original
LINC01716,original
AC107071.1,original
PIK3R4,original
Gm47221,original
HTR2A,original
Gm13617,original
MIR4301,original
Ryr3,original
AC017002.5,original
TRAV10,original
PLEKHS1,original
RNA5SP244,original
C9orf63,original
AC016044.1,original
MAPKAPK5P1,original
Eml1,original
FAM149B1,original
Gm11872,original
TSACC,original
SNX18P5,original
PSMA1,original
ZNF652,original
RNU6-763P,original
STAG3L1,original
AL356289.1,original
MIR5091,original
AL355607.1,original
SPRR3,original
Rp2,original
AC007663.3,original
RNU6-321P,original
Cystm1,original
TRAT1,original
LINC01629,original
Gm29077,original
DFNB77,original
SNORD162,original
LINC00673,original
DOCK8-AS1,original
DNAH8,original
CACFD1,original
Upk3a,original
ZNF829,original
RPSAP21,original
CALCA,original
HOX4C,original
Hoxb5os,original
Pip5k1b,original
Rela,original
AC106745.1,original
PAPPA-AS1,original
Cfap74,original
Fetub,original
Fam129c,original
Zdhhc4,original
RNU6-816P,original
AC009486.1,original
AC003684.1,original
AC090099.2,original
ACBD3-AS1,original
NIPAL3,original
MRX39,original
Kir3dl1,original
AC007923.4,original
FRA13D,original
OR5D1P,original
SNORD6,original
LINC02222,original
RNU7-44P,original
BRCA3,original
OR8I2,original
TUSC1,original
4930563M21Rik,original
Gm17023,original
Gm29044,original
Rif1,original
KMT5AP1,original
MTATP6P11,original
Rtn4ip1,original
RNA5SP535,original
IRF2BP1,original
DAZLA,original
A630001G21Rik,original
S100A11,original
Heatr9,original
Six6,original
Zc3h15,original
Nrxn2,original
AF067845.5,original
C22orf12,original
RNA5S9,original
ALPK1,original
Tff2,original
RNU7-6P,original
AC008914.1,original
CD44-AS1,original
Cav3,original
SCARNA8,original
AC165961.3,original
HLA-DRB1,original
AC097717.1,original
Tspan8,original
DFNA48,original
CLUAP1,original
LINC01149,original
AL136040.1,original
Zfp105,original
Kctd15,original
Sdhaf3,original
CORO1B,original
KCNE1,original
RN7SL298P,original
MIR3659,original
Gm3618,original
USP9YP4,original
Ttll5,original
LINC02561,original
AC105429.1,original
AL162258.2,original
AC093484.3,original
AL596330.2,original
LONRF2P5,original
KIAA1211,original
AC091488.1,original
Klf8,original
Gm29067,original
BOLA2P2,original
Gm13203,original
APOBEC3G,original
Hnrnpm,original
Srgap1,original
AC090809.1,original
ERVK-31,original
AC140847.1,original
SYNE1,original
TRIM60,original
Olfr308,original
Gm12972,original
SPTBN5,original
AC067817.2,original
HSP90AB1,original
Cfdp1,original
Tmem135,original
IGHV1OR15-3,original
AC131339.3,original
4930540M05Rik,original
Srrm4os,original
Atp6v0d2,original
Gm45645,original
Rpl9-ps1,original
PSMC1P4,original
TNKS2-DT,original
AC126118.1,original
Mchr1,original
Gm31983,original
RNA5SP426,original
AC026369.3,original
MT-RNR3,original
LIF-AS2,original
Gp1ba,original
Ighv14-2,original
ANKRD44-AS1,original
MTCO3P39,original
RN7SL691P,original
RWDD1P3,original
PAXIP1-AS2,original
TRAJ52,original
Gm47931,original
Ppia,original
FTLP4,original
Olfr727,original
AC010967.1,original
Smarcd3,original
Dock9,original
SLC25A48,original
AL592156.2,original
HPGDS,original
Gm13923,original
Psme1,original
Rreb1,original
Gm44658,original
RNF13P1,original
TMED7-TICAM2,original
FBXL13,original
LCA5,original
IC1,original
AC024592.2,original
Cmtm5,original
AP001636.3,original
CPSF1P2,original
RN7SL288P,original
Uxs1,original
STSP1,original
Gm33301,original
SNORD47,original
Zfp40,original
Gm28674,original
Ddit4,original
AC009803.2,original
AL590062.1,original
Igkv13-54-1,original
RPL31P15,original
MIR320B1,original
AC027290.1,original
Gtf3c6,original
RN7SKP270,original
Gprc5d,original
AL354897.1,original
AC092134.3,original
Bhmt2,original
FAM230H,original
AC124555.1,original
AL132642.1,original
KIR2DL5A,original
SCA31,original
RMCH,original
ZSCAN32,original
Gm33051,original
ID2-AS1,original
AL663058.2,original
Gm2415,original
LINC02196,original
Sult2a2,original
DHRS7B,original
PEBP1P3,original
QRSL1P1,original
Igkv6-29,original
Mark4,original
MTND4LP28,original
AC005871.2,original
AC092640.1,original
RPL15P13,original
SEC23A,original
Gm10772,original
IGDCC4,original
Npc1l1,original
AC005209.1,original
SERPINB9P1,original
RNU6-335P,original
YME1L1P1,original
Olfr731,original
SNORD76,original
RN7SL527P,original
AC093849.4,original
Defb10,original
AL732437.3,original
USP3L,original
AC025031.4,original
RESP18,original
Prl8a8,original
MIR1244-2,original
TRK-TTT16-1,original
SPRR2B,original
LINC01163,original
Olfr48,original
Jade2,original
STMN1P1,original
SRSF3P5,original
AC010333.2,original
EGR3,original
A530064D06Rik,original
RPL31P23,original
Il6,original
ZFP28-DT,original
SELENOH,original
Fgl2,original
Sox30,original
SCZD6,original
KRT17P3,original
TRBV14,original
GATC,original
RPL27P9,original
MIR512-2,original
Fam162a,original
Mrpl14,original
TRG-CCC3-1,original
Pcdha3,original
RFKP6,original
KAT8,original
Usp26,original
OR10D5P,original
AC016587.1,original
PHF23,original
MIR139,original
Defb43,original
IGHV7-34-1,original
HMGN2P11,original
TRAV17,original
Adam26b,original
Camsap1,original
CALR,original
CCDC172,original
AC008014.1,original
ACTR3,original
BC004004,original
LINC00644,original
C4orf47,original
